episode,total_steps,reward,rolling_reward_100,epsilon,loss
388,19210,0.0,1.7,0.884938,nan
389,19244,0.0,1.69,0.88474,nan
390,19317,5.0,1.69,0.884536,nan
391,19374,2.0,1.71,0.884098,nan
392,19422,2.0,1.64,0.883756,nan
393,19464,1.0,1.64,0.883468,nan
394,19498,0.0,1.63,0.883216,nan
395,19533,0.0,1.59,0.883012,nan
396,19597,3.0,1.6,0.882802,nan
397,19667,4.0,1.61,0.882418,nan
398,19705,1.0,1.61,0.881998,nan
399,19749,1.0,1.62,0.8817699999999999,nan
400,19795,1.0,1.62,0.881506,nan
401,19854,3.0,1.65,0.88123,nan
402,19888,0.0,1.63,0.880876,nan
403,19932,1.0,1.62,0.880672,nan
404,19977,1.0,1.62,0.880408,nan
405,20029,2.0,1.62,0.880138,nan
406,20088,3.0,1.62,0.879826,nan
407,20136,2.0,1.6,0.879472,nan
408,20171,0.0,1.59,0.879184,nan
409,20234,3.0,1.61,0.878974,nan
410,20298,3.0,1.63,0.878596,nan
411,20362,3.0,1.65,0.878212,nan
412,20396,0.0,1.64,0.877828,nan
413,20467,4.0,1.68,0.877624,nan
414,20518,2.0,1.69,0.877198,nan
415,20563,1.0,1.68,0.876892,nan
416,20615,2.0,1.68,0.876622,nan
417,20656,1.0,1.66,0.87631,nan
418,20699,1.0,1.65,0.876064,nan
419,20751,2.0,1.67,0.875806,nan
420,20826,4.0,1.66,0.875494,nan
421,20879,2.0,1.63,0.875044,nan
422,20962,5.0,1.66,0.874726,nan
423,21014,2.0,1.64,0.874228,nan
424,21076,3.0,1.66,0.873916,nan
425,21148,4.0,1.69,0.873544,nan
426,21200,2.0,1.7,0.873112,nan
427,21241,1.0,1.69,0.8728,nan
428,21274,0.0,1.67,0.872554,nan
429,21349,4.0,1.71,0.872356,nan
430,21413,3.0,1.73,0.871906,nan
431,21483,6.0,1.79,0.871522,nan
432,21536,2.0,1.8,0.871102,nan
433,21569,0.0,1.79,0.870784,nan
434,21610,1.0,1.8,0.870586,nan
435,21674,3.0,1.8,0.87034,nan
436,21724,2.0,1.82,0.869956,nan
437,21758,0.0,1.79,0.869656,nan
438,21792,0.0,1.79,0.869452,nan
439,21863,4.0,1.82,0.869248,nan
440,21908,1.0,1.81,0.868822,nan
441,21942,0.0,1.79,0.868552,nan
442,22013,4.0,1.82,0.868348,nan
443,22076,3.0,1.83,0.867922,nan
444,22120,1.0,1.82,0.867544,nan
445,22154,0.0,1.81,0.86728,nan
446,22189,0.0,1.77,0.867076,nan
447,22234,1.0,1.75,0.866866,nan
448,22275,1.0,1.75,0.866596,nan
449,22317,1.0,1.76,0.86635,nan
450,22358,1.0,1.76,0.866098,nan
451,22406,2.0,1.78,0.865852,nan
452,22447,1.0,1.76,0.865564,nan
453,22505,3.0,1.76,0.865318,nan
454,22550,1.0,1.77,0.86497,nan
455,22584,0.0,1.75,0.8647,nan
456,22634,2.0,1.76,0.8644959999999999,nan
457,22666,0.0,1.74,0.864196,nan
458,22706,1.0,1.73,0.864004,nan
459,22739,0.0,1.7,0.863764,nan
460,22802,3.0,1.73,0.8635660000000001,nan
461,22865,3.0,1.76,0.863188,nan
462,22928,3.0,1.79,0.86281,nan
463,22969,1.0,1.77,0.862432,nan
464,23009,1.0,1.74,0.862186,nan
465,23059,2.0,1.75,0.861946,nan
466,23128,4.0,1.79,0.861646,nan
467,23175,2.0,1.78,0.861232,nan
468,23228,3.0,1.81,0.86095,nan
469,23261,0.0,1.81,0.8606320000000001,nan
470,23321,3.0,1.81,0.860434,nan
471,23378,3.0,1.81,0.860074,nan
472,23420,1.0,1.8,0.8597319999999999,nan
473,23452,0.0,1.79,0.85948,nan
474,23486,0.0,1.79,0.859288,nan
475,23545,3.0,1.82,0.859084,nan
476,23601,3.0,1.8,0.85873,nan
477,23652,2.0,1.81,0.858394,nan
478,23704,2.0,1.79,0.858088,nan
479,23756,2.0,1.79,0.857776,nan
